state,renew,total,fraction,percentile
WA,834905.0,2036516.0,0.409967316731,0.961538461538
DE,6143.0,256209.0,0.0239765191699,0.0192307692308
DC,682.0,185461.0,0.00367732299513,0.0
WI,179260.0,1800072.0,0.0995849054927,0.673076923077
WV,41312.0,738858.0,0.0559133148724,0.365384615385
HI,20623.0,272156.0,0.0757763929511,0.538461538462
FL,303276.0,4381926.0,0.0692106621609,0.480769230769
WY,46549.0,535267.0,0.0869640758724,0.634615384615
NH,43493.0,295495.0,0.147186923637,0.788461538462
NJ,59256.0,2447538.0,0.0242104514823,0.0384615384615
NM,39981.0,680119.0,0.0587853008077,0.403846153846
TX,465135.0,11769900.0,0.0395190273494,0.173076923077
LA,122916.0,4065372.0,0.0302348714952,0.0769230769231
NC,187362.0,2705219.0,0.0692594573674,0.5
ND,86033.0,480718.0,0.178967710799,0.826923076923
NE,129717.0,843793.0,0.153730832088,0.807692307692
TN,182144.0,2250577.0,0.0809321342927,0.576923076923
NY,437200.0,3728437.0,0.117260932664,0.75
PA,173440.0,3758834.0,0.0461419684934,0.25
CA,801627.0,7825673.0,0.102435534937,0.692307692308
NV,59180.0,646084.0,0.0915979965453,0.653846153846
VA,139799.0,2502056.0,0.0558736495106,0.346153846154
CO,76989.0,1516856.0,0.0507556419331,0.307692307692
AK,18097.0,641663.0,0.0282032780447,0.0576923076923
AL,245778.0,1959696.0,0.125416391114,0.769230769231
AR,125411.0,1125639.0,0.111413161769,0.711538461538
VT,29051.0,147630.0,0.196782496782,0.846153846154
IL,190894.0,3936690.0,0.0484909911626,0.269230769231
GA,238951.0,3155657.0,0.0757214741653,0.519230769231
IN,141311.0,2871099.0,0.0492184351706,0.288461538462
IA,338614.0,1492314.0,0.226905329575,0.865384615385
OK,102730.0,1551623.0,0.0662080930742,0.461538461538
AZ,114006.0,1399609.0,0.0814556065301,0.596153846154
ID,134840.0,533765.0,0.252620535254,0.884615384615
CT,39339.0,753954.0,0.0521769232606,0.326923076923
ME,151289.0,407297.0,0.371446389244,0.942307692308
MD,60520.0,1481070.0,0.0408623495176,0.192307692308
MA,62942.0,1396862.0,0.0450595692345,0.230769230769
OH,126170.0,3833717.0,0.0329106191198,0.115384615385
UT,23116.0,763707.0,0.0302681525768,0.0961538461538
MO,85595.0,1928366.0,0.0443873206642,0.211538461538
MN,213578.0,1867307.0,0.11437755013,0.730769230769
MI,166265.0,2798125.0,0.0594201474201,0.423076923077
US,8055604.0,97710638.0,0.0824434694613,0.615384615385
RI,7182.0,197216.0,0.0364169235762,0.134615384615
KS,75329.0,1165261.0,0.0646456030022,0.442307692308
MT,120262.0,401412.0,0.299597421104,0.903846153846
MS,68527.0,1189177.0,0.0576255679348,0.384615384615
SC,130209.0,1661633.0,0.0783620691212,0.557692307692
KY,77008.0,1976514.0,0.0389615251903,0.153846153846
OR,400890.0,977070.0,0.410298136265,0.980769230769
SD,130678.0,379601.0,0.344250937168,0.923076923077
